Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
AI Summarize,ai.summarize.standard,Magnexis APIHub > Ai,api-ai-summarize,ai,"Condense long text into a concise, structured summary.",medium,none,free,Text Transform,standard,ai|standard,60,1.57
AI Rewrite Strict,ai.rewrite.strict,Magnexis APIHub > Ai,api-ai-rewrite-strict,ai,Rewrite content with a different tone or structure. Optimized for strict mode.,medium,none,pro,Text Transform,strict,ai|rewrite,60,1.53
AI Rewrite Creative,ai.rewrite.creative,Magnexis APIHub > Ai,api-ai-rewrite-creative,ai,Rewrite content with a different tone or structure. Optimized for creative mode.,medium,none,pro,Text Transform,creative,ai|creative,60,1.26
AI Rewrite Compact,ai.rewrite.compact,Magnexis APIHub > Ai,api-ai-rewrite-compact,ai,Rewrite content with a different tone or structure. Optimized for compact mode.,medium,none,pro,Text Transform,compact,ai|compact,60,1.46
AI Rewrite Verbose,ai.rewrite.verbose,Magnexis APIHub > Ai,api-ai-rewrite-verbose,ai,Rewrite content with a different tone or structure. Optimized for verbose mode.,medium,none,pro,Text Transform,verbose,ai|rewrite,60,1.46
AI Rewrite Safe,ai.rewrite.safe,Magnexis APIHub > Ai,api-ai-rewrite-safe,ai,Rewrite content with a different tone or structure. Optimized for safe mode.,medium,none,pro,Text Transform,safe,ai|rewrite,60,1.89
AI Rewrite Adaptive,ai.rewrite.adaptive,Magnexis APIHub > Ai,api-ai-rewrite-adaptive,ai,Rewrite content with a different tone or structure. Optimized for adaptive mode.,medium,none,pro,Text Transform,adaptive,adaptive|ai,60,1.88
AI Rewrite Batch,ai.rewrite.batch,Magnexis APIHub > Ai,api-ai-rewrite-batch,ai,Rewrite content with a different tone or structure. Optimized for batch mode.,medium,none,pro,Text Transform,batch,ai|batch,60,1.51
Keyword Extractor,ai.extract-keywords.standard,Magnexis APIHub > Ai,api-ai-extract-keywords,ai,Detect important keywords and key phrases from content.,low,none,free,Text Analysis,standard,ai|keywords,90,1.77
Keyword Extractor Fast,ai.extract-keywords.fast,Magnexis APIHub > Ai,api-ai-extract-keywords-fast,ai,Detect important keywords and key phrases from content. Optimized for fast mode.,low,none,pro,Text Analysis,fast,ai|fast,90,1.35
Keyword Extractor Deep,ai.extract-keywords.deep,Magnexis APIHub > Ai,api-ai-extract-keywords-deep,ai,Detect important keywords and key phrases from content. Optimized for deep mode.,low,none,pro,Text Analysis,deep,ai|deep,90,1.77
Keyword Extractor Strict,ai.extract-keywords.strict,Magnexis APIHub > Ai,api-ai-extract-keywords-strict,ai,Detect important keywords and key phrases from content. Optimized for strict mode.,low,none,pro,Text Analysis,strict,ai|keywords,90,1.27
Keyword Extractor Creative,ai.extract-keywords.creative,Magnexis APIHub > Ai,api-ai-extract-keywords-creative,ai,Detect important keywords and key phrases from content. Optimized for creative mode.,low,none,pro,Text Analysis,creative,ai|creative,90,1.84
Keyword Extractor Compact,ai.extract-keywords.compact,Magnexis APIHub > Ai,api-ai-extract-keywords-compact,ai,Detect important keywords and key phrases from content. Optimized for compact mode.,low,none,pro,Text Analysis,compact,ai|compact,90,1.51
Keyword Extractor Verbose,ai.extract-keywords.verbose,Magnexis APIHub > Ai,api-ai-extract-keywords-verbose,ai,Detect important keywords and key phrases from content. Optimized for verbose mode.,low,none,pro,Text Analysis,verbose,ai|keywords,90,1.27
Keyword Extractor Safe,ai.extract-keywords.safe,Magnexis APIHub > Ai,api-ai-extract-keywords-safe,ai,Detect important keywords and key phrases from content. Optimized for safe mode.,low,none,pro,Text Analysis,safe,ai|keywords,90,2.07
Keyword Extractor Adaptive,ai.extract-keywords.adaptive,Magnexis APIHub > Ai,api-ai-extract-keywords-adaptive,ai,Detect important keywords and key phrases from content. Optimized for adaptive mode.,low,none,pro,Text Analysis,adaptive,adaptive|ai,90,1.60
Keyword Extractor Batch,ai.extract-keywords.batch,Magnexis APIHub > Ai,api-ai-extract-keywords-batch,ai,Detect important keywords and key phrases from content. Optimized for batch mode.,low,none,pro,Text Analysis,batch,ai|batch,90,1.75
Title Generator,ai.title-generator.standard,Magnexis APIHub > Ai,api-ai-title-generator,ai,Create punchy titles from raw ideas or text.,medium,none,free,Text Generation,standard,ai|standard,60,1.51
Title Generator Fast,ai.title-generator.fast,Magnexis APIHub > Ai,api-ai-title-generator-fast,ai,Create punchy titles from raw ideas or text. Optimized for fast mode.,medium,none,pro,Text Generation,fast,ai|fast,60,1.89
Title Generator Deep,ai.title-generator.deep,Magnexis APIHub > Ai,api-ai-title-generator-deep,ai,Create punchy titles from raw ideas or text. Optimized for deep mode.,medium,none,pro,Text Generation,deep,ai|deep,60,2.07
Title Generator Strict,ai.title-generator.strict,Magnexis APIHub > Ai,api-ai-title-generator-strict,ai,Create punchy titles from raw ideas or text. Optimized for strict mode.,medium,none,pro,Text Generation,strict,ai|strict,60,1.36
Title Generator Creative,ai.title-generator.creative,Magnexis APIHub > Ai,api-ai-title-generator-creative,ai,Create punchy titles from raw ideas or text. Optimized for creative mode.,medium,none,pro,Text Generation,creative,ai|creative,60,1.44
Title Generator Compact,ai.title-generator.compact,Magnexis APIHub > Ai,api-ai-title-generator-compact,ai,Create punchy titles from raw ideas or text. Optimized for compact mode.,medium,none,pro,Text Generation,compact,ai|compact,60,1.91
Title Generator Verbose,ai.title-generator.verbose,Magnexis APIHub > Ai,api-ai-title-generator-verbose,ai,Create punchy titles from raw ideas or text. Optimized for verbose mode.,medium,none,pro,Text Generation,verbose,ai|text-generation,60,2.04
Title Generator Safe,ai.title-generator.safe,Magnexis APIHub > Ai,api-ai-title-generator-safe,ai,Create punchy titles from raw ideas or text. Optimized for safe mode.,medium,none,pro,Text Generation,safe,ai|safe,60,1.89
Title Generator Adaptive,ai.title-generator.adaptive,Magnexis APIHub > Ai,api-ai-title-generator-adaptive,ai,Create punchy titles from raw ideas or text. Optimized for adaptive mode.,medium,none,pro,Text Generation,adaptive,adaptive|ai,60,1.89
Title Generator Batch,ai.title-generator.batch,Magnexis APIHub > Ai,api-ai-title-generator-batch,ai,Create punchy titles from raw ideas or text. Optimized for batch mode.,medium,none,pro,Text Generation,batch,ai|batch,60,2.25
Intent Classifier,ai.intent-classifier.standard,Magnexis APIHub > Ai,api-ai-intent-classifier,ai,Classify user intent into a stable routing label.,medium,none,free,Classification,standard,ai|classification,60,2.30
Intent Classifier Fast,ai.intent-classifier.fast,Magnexis APIHub > Ai,api-ai-intent-classifier-fast,ai,Classify user intent into a stable routing label. Optimized for fast mode.,medium,none,pro,Classification,fast,ai|classification,60,2.06
Intent Classifier Deep,ai.intent-classifier.deep,Magnexis APIHub > Ai,api-ai-intent-classifier-deep,ai,Classify user intent into a stable routing label. Optimized for deep mode.,medium,none,pro,Classification,deep,ai|classification,60,1.57
Intent Classifier Strict,ai.intent-classifier.strict,Magnexis APIHub > Ai,api-ai-intent-classifier-strict,ai,Classify user intent into a stable routing label. Optimized for strict mode.,medium,none,pro,Classification,strict,ai|classification,60,1.58
Intent Classifier Creative,ai.intent-classifier.creative,Magnexis APIHub > Ai,api-ai-intent-classifier-creative,ai,Classify user intent into a stable routing label. Optimized for creative mode.,medium,none,pro,Classification,creative,ai|classification,60,2.36
Intent Classifier Compact,ai.intent-classifier.compact,Magnexis APIHub > Ai,api-ai-intent-classifier-compact,ai,Classify user intent into a stable routing label. Optimized for compact mode.,medium,none,pro,Classification,compact,ai|classification,60,1.75
Intent Classifier Verbose,ai.intent-classifier.verbose,Magnexis APIHub > Ai,api-ai-intent-classifier-verbose,ai,Classify user intent into a stable routing label. Optimized for verbose mode.,medium,none,pro,Classification,verbose,ai|classification,60,2.00
Intent Classifier Safe,ai.intent-classifier.safe,Magnexis APIHub > Ai,api-ai-intent-classifier-safe,ai,Classify user intent into a stable routing label. Optimized for safe mode.,medium,none,pro,Classification,safe,ai|classification,60,1.87
Intent Classifier Adaptive,ai.intent-classifier.adaptive,Magnexis APIHub > Ai,api-ai-intent-classifier-adaptive,ai,Classify user intent into a stable routing label. Optimized for adaptive mode.,medium,none,pro,Classification,adaptive,adaptive|ai,60,2.37
Intent Classifier Batch,ai.intent-classifier.batch,Magnexis APIHub > Ai,api-ai-intent-classifier-batch,ai,Classify user intent into a stable routing label. Optimized for batch mode.,medium,none,pro,Classification,batch,ai|batch,60,1.52
Code Commenter,ai.code-commenter.standard,Magnexis APIHub > Ai,api-ai-code-commenter,ai,Generate readable comments for a code snippet.,high,none,pro,Code Analysis,standard,ai|code,30,2.13
Code Commenter Fast,ai.code-commenter.fast,Magnexis APIHub > Ai,api-ai-code-commenter-fast,ai,Generate readable comments for a code snippet. Optimized for fast mode.,high,none,pro,Code Analysis,fast,ai|code,30,2.35
Code Commenter Deep,ai.code-commenter.deep,Magnexis APIHub > Ai,api-ai-code-commenter-deep,ai,Generate readable comments for a code snippet. Optimized for deep mode.,high,none,pro,Code Analysis,deep,ai|code,30,2.08
Code Commenter Strict,ai.code-commenter.strict,Magnexis APIHub > Ai,api-ai-code-commenter-strict,ai,Generate readable comments for a code snippet. Optimized for strict mode.,high,none,pro,Code Analysis,strict,ai|code,30,1.53
Code Commenter Creative,ai.code-commenter.creative,Magnexis APIHub > Ai,api-ai-code-commenter-creative,ai,Generate readable comments for a code snippet. Optimized for creative mode.,high,none,pro,Code Analysis,creative,ai|code,30,2.15
Code Commenter Compact,ai.code-commenter.compact,Magnexis APIHub > Ai,api-ai-code-commenter-compact,ai,Generate readable comments for a code snippet. Optimized for compact mode.,high,none,pro,Code Analysis,compact,ai|code,30,1.99
Code Commenter Verbose,ai.code-commenter.verbose,Magnexis APIHub > Ai,api-ai-code-commenter-verbose,ai,Generate readable comments for a code snippet. Optimized for verbose mode.,high,none,pro,Code Analysis,verbose,ai|code,30,2.04
Code Commenter Safe,ai.code-commenter.safe,Magnexis APIHub > Ai,api-ai-code-commenter-safe,ai,Generate readable comments for a code snippet. Optimized for safe mode.,high,none,pro,Code Analysis,safe,ai|code,30,2.36
Code Commenter Adaptive,ai.code-commenter.adaptive,Magnexis APIHub > Ai,api-ai-code-commenter-adaptive,ai,Generate readable comments for a code snippet. Optimized for adaptive mode.,high,none,pro,Code Analysis,adaptive,adaptive|ai,30,1.85
Code Commenter Batch,ai.code-commenter.batch,Magnexis APIHub > Ai,api-ai-code-commenter-batch,ai,Generate readable comments for a code snippet. Optimized for batch mode.,high,none,pro,Code Analysis,batch,ai|batch,30,2.52
Slugify,text.slugify.standard,Magnexis APIHub > Text,api-text-slugify,text,Convert text into URL-friendly slugs.,low,none,free,Text Transform,standard,slug|standard,90,2.23
Slugify Fast,text.slugify.fast,Magnexis APIHub > Text,api-text-slugify-fast,text,Convert text into URL-friendly slugs. Optimized for fast mode.,low,none,pro,Text Transform,fast,fast|slug,90,2.10
Slugify Deep,text.slugify.deep,Magnexis APIHub > Text,api-text-slugify-deep,text,Convert text into URL-friendly slugs. Optimized for deep mode.,low,none,pro,Text Transform,deep,deep|slug,90,2.13
Slugify Strict,text.slugify.strict,Magnexis APIHub > Text,api-text-slugify-strict,text,Convert text into URL-friendly slugs. Optimized for strict mode.,low,none,pro,Text Transform,strict,slug|strict,90,1.69
Slugify Creative,text.slugify.creative,Magnexis APIHub > Text,api-text-slugify-creative,text,Convert text into URL-friendly slugs. Optimized for creative mode.,low,none,pro,Text Transform,creative,creative|slug,90,2.07
Slugify Compact,text.slugify.compact,Magnexis APIHub > Text,api-text-slugify-compact,text,Convert text into URL-friendly slugs. Optimized for compact mode.,low,none,pro,Text Transform,compact,compact|slug,90,1.70
Slugify Verbose,text.slugify.verbose,Magnexis APIHub > Text,api-text-slugify-verbose,text,Convert text into URL-friendly slugs. Optimized for verbose mode.,low,none,pro,Text Transform,verbose,slug|text,90,2.25
Slugify Safe,text.slugify.safe,Magnexis APIHub > Text,api-text-slugify-safe,text,Convert text into URL-friendly slugs. Optimized for safe mode.,low,none,pro,Text Transform,safe,safe|slug,90,1.95
Slugify Adaptive,text.slugify.adaptive,Magnexis APIHub > Text,api-text-slugify-adaptive,text,Convert text into URL-friendly slugs. Optimized for adaptive mode.,low,none,pro,Text Transform,adaptive,adaptive|slug,90,2.00
Slugify Batch,text.slugify.batch,Magnexis APIHub > Text,api-text-slugify-batch,text,Convert text into URL-friendly slugs. Optimized for batch mode.,low,none,pro,Text Transform,batch,batch|slug,90,1.86
Readability Score,text.readability-score.standard,Magnexis APIHub > Text,api-text-readability-score,text,Estimate how easy the text is to read.,medium,none,free,Text Analysis,standard,readability|standard,60,1.73
Readability Score Fast,text.readability-score.fast,Magnexis APIHub > Text,api-text-readability-score-fast,text,Estimate how easy the text is to read. Optimized for fast mode.,medium,none,pro,Text Analysis,fast,fast|readability,60,2.66
Readability Score Deep,text.readability-score.deep,Magnexis APIHub > Text,api-text-readability-score-deep,text,Estimate how easy the text is to read. Optimized for deep mode.,medium,none,pro,Text Analysis,deep,deep|readability,60,2.45
Readability Score Strict,text.readability-score.strict,Magnexis APIHub > Text,api-text-readability-score-strict,text,Estimate how easy the text is to read. Optimized for strict mode.,medium,none,pro,Text Analysis,strict,readability|strict,60,2.28
Readability Score Creative,text.readability-score.creative,Magnexis APIHub > Text,api-text-readability-score-creative,text,Estimate how easy the text is to read. Optimized for creative mode.,medium,none,pro,Text Analysis,creative,creative|readability,60,2.03
Readability Score Compact,text.readability-score.compact,Magnexis APIHub > Text,api-text-readability-score-compact,text,Estimate how easy the text is to read. Optimized for compact mode.,medium,none,pro,Text Analysis,compact,compact|readability,60,2.36
Readability Score Verbose,text.readability-score.verbose,Magnexis APIHub > Text,api-text-readability-score-verbose,text,Estimate how easy the text is to read. Optimized for verbose mode.,medium,none,pro,Text Analysis,verbose,readability|text,60,2.62
Readability Score Safe,text.readability-score.safe,Magnexis APIHub > Text,api-text-readability-score-safe,text,Estimate how easy the text is to read. Optimized for safe mode.,medium,none,pro,Text Analysis,safe,readability|safe,60,2.68
Readability Score Adaptive,text.readability-score.adaptive,Magnexis APIHub > Text,api-text-readability-score-adaptive,text,Estimate how easy the text is to read. Optimized for adaptive mode.,medium,none,pro,Text Analysis,adaptive,adaptive|readability,60,2.25
Readability Score Batch,text.readability-score.batch,Magnexis APIHub > Text,api-text-readability-score-batch,text,Estimate how easy the text is to read. Optimized for batch mode.,medium,none,pro,Text Analysis,batch,batch|readability,60,1.80
Duplicate Remover,text.remove-duplicates.standard,Magnexis APIHub > Text,api-text-remove-duplicates,text,"Remove duplicate lines, sentences, or words.",low,none,free,Text Transform,standard,cleanup|standard,90,1.84
Duplicate Remover Fast,text.remove-duplicates.fast,Magnexis APIHub > Text,api-text-remove-duplicates-fast,text,"Remove duplicate lines, sentences, or words. Optimized for fast mode.",low,none,pro,Text Transform,fast,cleanup|fast,90,2.40
Duplicate Remover Deep,text.remove-duplicates.deep,Magnexis APIHub > Text,api-text-remove-duplicates-deep,text,"Remove duplicate lines, sentences, or words. Optimized for deep mode.",low,none,pro,Text Transform,deep,cleanup|deep,90,1.96
Duplicate Remover Strict,text.remove-duplicates.strict,Magnexis APIHub > Text,api-text-remove-duplicates-strict,text,"Remove duplicate lines, sentences, or words. Optimized for strict mode.",low,none,pro,Text Transform,strict,cleanup|strict,90,2.54
Duplicate Remover Creative,text.remove-duplicates.creative,Magnexis APIHub > Text,api-text-remove-duplicates-creative,text,"Remove duplicate lines, sentences, or words. Optimized for creative mode.",low,none,pro,Text Transform,creative,cleanup|creative,90,2.79
Duplicate Remover Compact,text.remove-duplicates.compact,Magnexis APIHub > Text,api-text-remove-duplicates-compact,text,"Remove duplicate lines, sentences, or words. Optimized for compact mode.",low,none,pro,Text Transform,compact,cleanup|compact,90,2.22
Duplicate Remover Verbose,text.remove-duplicates.verbose,Magnexis APIHub > Text,api-text-remove-duplicates-verbose,text,"Remove duplicate lines, sentences, or words. Optimized for verbose mode.",low,none,pro,Text Transform,verbose,cleanup|text,90,2.62
Duplicate Remover Safe,text.remove-duplicates.safe,Magnexis APIHub > Text,api-text-remove-duplicates-safe,text,"Remove duplicate lines, sentences, or words. Optimized for safe mode.",low,none,pro,Text Transform,safe,cleanup|safe,90,2.27
Duplicate Remover Adaptive,text.remove-duplicates.adaptive,Magnexis APIHub > Text,api-text-remove-duplicates-adaptive,text,"Remove duplicate lines, sentences, or words. Optimized for adaptive mode.",low,none,pro,Text Transform,adaptive,adaptive|cleanup,90,2.47
Duplicate Remover Batch,text.remove-duplicates.batch,Magnexis APIHub > Text,api-text-remove-duplicates-batch,text,"Remove duplicate lines, sentences, or words. Optimized for batch mode.",low,none,pro,Text Transform,batch,batch|cleanup,90,2.59
Sentence Splitter,text.sentence-splitter.standard,Magnexis APIHub > Text,api-text-sentence-splitter,text,Split text into sentence segments.,low,none,free,Text Analysis,standard,segmentation|standard,90,2.33
Sentence Splitter Fast,text.sentence-splitter.fast,Magnexis APIHub > Text,api-text-sentence-splitter-fast,text,Split text into sentence segments. Optimized for fast mode.,low,none,pro,Text Analysis,fast,fast|segmentation,90,2.62
Sentence Splitter Deep,text.sentence-splitter.deep,Magnexis APIHub > Text,api-text-sentence-splitter-deep,text,Split text into sentence segments. Optimized for deep mode.,low,none,pro,Text Analysis,deep,deep|segmentation,90,2.07
Sentence Splitter Strict,text.sentence-splitter.strict,Magnexis APIHub > Text,api-text-sentence-splitter-strict,text,Split text into sentence segments. Optimized for strict mode.,low,none,pro,Text Analysis,strict,segmentation|strict,90,2.34
Sentence Splitter Creative,text.sentence-splitter.creative,Magnexis APIHub > Text,api-text-sentence-splitter-creative,text,Split text into sentence segments. Optimized for creative mode.,low,none,pro,Text Analysis,creative,creative|segmentation,90,2.34
Sentence Splitter Compact,text.sentence-splitter.compact,Magnexis APIHub > Text,api-text-sentence-splitter-compact,text,Split text into sentence segments. Optimized for compact mode.,low,none,pro,Text Analysis,compact,compact|segmentation,90,2.41
Sentence Splitter Verbose,text.sentence-splitter.verbose,Magnexis APIHub > Text,api-text-sentence-splitter-verbose,text,Split text into sentence segments. Optimized for verbose mode.,low,none,pro,Text Analysis,verbose,segmentation|text,90,2.48
Sentence Splitter Safe,text.sentence-splitter.safe,Magnexis APIHub > Text,api-text-sentence-splitter-safe,text,Split text into sentence segments. Optimized for safe mode.,low,none,pro,Text Analysis,safe,safe|segmentation,90,2.78
Sentence Splitter Adaptive,text.sentence-splitter.adaptive,Magnexis APIHub > Text,api-text-sentence-splitter-adaptive,text,Split text into sentence segments. Optimized for adaptive mode.,low,none,pro,Text Analysis,adaptive,adaptive|segmentation,90,2.16
Sentence Splitter Batch,text.sentence-splitter.batch,Magnexis APIHub > Text,api-text-sentence-splitter-batch,text,Split text into sentence segments. Optimized for batch mode.,low,none,pro,Text Analysis,batch,batch|segmentation,90,2.14
Language Detector,text.language-detect.standard,Magnexis APIHub > Text,api-text-language-detect,text,Identify the probable language of the text.,medium,none,free,Language,standard,language|standard,60,2.07
Language Detector Fast,text.language-detect.fast,Magnexis APIHub > Text,api-text-language-detect-fast,text,Identify the probable language of the text. Optimized for fast mode.,medium,none,pro,Language,fast,fast|language,60,2.32
Language Detector Deep,text.language-detect.deep,Magnexis APIHub > Text,api-text-language-detect-deep,text,Identify the probable language of the text. Optimized for deep mode.,medium,none,pro,Language,deep,deep|language,60,2.47
Language Detector Strict,text.language-detect.strict,Magnexis APIHub > Text,api-text-language-detect-strict,text,Identify the probable language of the text. Optimized for strict mode.,medium,none,pro,Language,strict,language|strict,60,2.30
Language Detector Creative,text.language-detect.creative,Magnexis APIHub > Text,api-text-language-detect-creative,text,Identify the probable language of the text. Optimized for creative mode.,medium,none,pro,Language,creative,creative|language,60,2.40
Language Detector Compact,text.language-detect.compact,Magnexis APIHub > Text,api-text-language-detect-compact,text,Identify the probable language of the text. Optimized for compact mode.,medium,none,pro,Language,compact,compact|language,60,2.91
Language Detector Verbose,text.language-detect.verbose,Magnexis APIHub > Text,api-text-language-detect-verbose,text,Identify the probable language of the text. Optimized for verbose mode.,medium,none,pro,Language,verbose,language|text,60,2.11
Language Detector Safe,text.language-detect.safe,Magnexis APIHub > Text,api-text-language-detect-safe,text,Identify the probable language of the text. Optimized for safe mode.,medium,none,pro,Language,safe,language|safe,60,2.46
Language Detector Adaptive,text.language-detect.adaptive,Magnexis APIHub > Text,api-text-language-detect-adaptive,text,Identify the probable language of the text. Optimized for adaptive mode.,medium,none,pro,Language,adaptive,adaptive|language,60,2.24
Language Detector Batch,text.language-detect.batch,Magnexis APIHub > Text,api-text-language-detect-batch,text,Identify the probable language of the text. Optimized for batch mode.,medium,none,pro,Language,batch,batch|language,60,2.53
Markdown Cleaner,text.markdown-cleaner.standard,Magnexis APIHub > Text,api-text-markdown-cleaner,text,Normalize markdown formatting and whitespace.,medium,none,free,Text Transform,standard,markdown|standard,60,2.45
Markdown Cleaner Fast,text.markdown-cleaner.fast,Magnexis APIHub > Text,api-text-markdown-cleaner-fast,text,Normalize markdown formatting and whitespace. Optimized for fast mode.,medium,none,pro,Text Transform,fast,fast|markdown,60,2.58
Markdown Cleaner Deep,text.markdown-cleaner.deep,Magnexis APIHub > Text,api-text-markdown-cleaner-deep,text,Normalize markdown formatting and whitespace. Optimized for deep mode.,medium,none,pro,Text Transform,deep,deep|markdown,60,2.64
Markdown Cleaner Strict,text.markdown-cleaner.strict,Magnexis APIHub > Text,api-text-markdown-cleaner-strict,text,Normalize markdown formatting and whitespace. Optimized for strict mode.,medium,none,pro,Text Transform,strict,markdown|strict,60,2.44
Markdown Cleaner Creative,text.markdown-cleaner.creative,Magnexis APIHub > Text,api-text-markdown-cleaner-creative,text,Normalize markdown formatting and whitespace. Optimized for creative mode.,medium,none,pro,Text Transform,creative,creative|markdown,60,2.87
Markdown Cleaner Compact,text.markdown-cleaner.compact,Magnexis APIHub > Text,api-text-markdown-cleaner-compact,text,Normalize markdown formatting and whitespace. Optimized for compact mode.,medium,none,pro,Text Transform,compact,compact|markdown,60,2.73
Markdown Cleaner Verbose,text.markdown-cleaner.verbose,Magnexis APIHub > Text,api-text-markdown-cleaner-verbose,text,Normalize markdown formatting and whitespace. Optimized for verbose mode.,medium,none,pro,Text Transform,verbose,markdown|text,60,2.38
Markdown Cleaner Safe,text.markdown-cleaner.safe,Magnexis APIHub > Text,api-text-markdown-cleaner-safe,text,Normalize markdown formatting and whitespace. Optimized for safe mode.,medium,none,pro,Text Transform,safe,markdown|safe,60,2.16
Markdown Cleaner Adaptive,text.markdown-cleaner.adaptive,Magnexis APIHub > Text,api-text-markdown-cleaner-adaptive,text,Normalize markdown formatting and whitespace. Optimized for adaptive mode.,medium,none,pro,Text Transform,adaptive,adaptive|markdown,60,2.27
Markdown Cleaner Batch,text.markdown-cleaner.batch,Magnexis APIHub > Text,api-text-markdown-cleaner-batch,text,Normalize markdown formatting and whitespace. Optimized for batch mode.,medium,none,pro,Text Transform,batch,batch|markdown,60,3.11
JSON Formatter,dev.json-formatter.standard,Magnexis APIHub > Dev,api-dev-json-formatter,dev,"Pretty-print, minify, and validate JSON.",low,none,free,Formatting,standard,dev|formatting,90,2.73
JSON Formatter Fast,dev.json-formatter.fast,Magnexis APIHub > Dev,api-dev-json-formatter-fast,dev,"Pretty-print, minify, and validate JSON. Optimized for fast mode.",low,none,pro,Formatting,fast,dev|fast,90,2.31
JSON Formatter Deep,dev.json-formatter.deep,Magnexis APIHub > Dev,api-dev-json-formatter-deep,dev,"Pretty-print, minify, and validate JSON. Optimized for deep mode.",low,none,pro,Formatting,deep,deep|dev,90,3.11
JSON Formatter Strict,dev.json-formatter.strict,Magnexis APIHub > Dev,api-dev-json-formatter-strict,dev,"Pretty-print, minify, and validate JSON. Optimized for strict mode.",low,none,pro,Formatting,strict,dev|formatting,90,2.71
JSON Formatter Creative,dev.json-formatter.creative,Magnexis APIHub > Dev,api-dev-json-formatter-creative,dev,"Pretty-print, minify, and validate JSON. Optimized for creative mode.",low,none,pro,Formatting,creative,creative|dev,90,2.51
JSON Formatter Compact,dev.json-formatter.compact,Magnexis APIHub > Dev,api-dev-json-formatter-compact,dev,"Pretty-print, minify, and validate JSON. Optimized for compact mode.",low,none,pro,Formatting,compact,compact|dev,90,2.97
JSON Formatter Verbose,dev.json-formatter.verbose,Magnexis APIHub > Dev,api-dev-json-formatter-verbose,dev,"Pretty-print, minify, and validate JSON. Optimized for verbose mode.",low,none,pro,Formatting,verbose,dev|formatting,90,2.69
JSON Formatter Safe,dev.json-formatter.safe,Magnexis APIHub > Dev,api-dev-json-formatter-safe,dev,"Pretty-print, minify, and validate JSON. Optimized for safe mode.",low,none,pro,Formatting,safe,dev|formatting,90,2.30
JSON Formatter Adaptive,dev.json-formatter.adaptive,Magnexis APIHub > Dev,api-dev-json-formatter-adaptive,dev,"Pretty-print, minify, and validate JSON. Optimized for adaptive mode.",low,none,pro,Formatting,adaptive,adaptive|dev,90,2.45
