Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
Spire Blend Ledger Retail 0656 Creative,finance.gen-finance-spire-blend-ledger-retail-0656.creative,Magnexis APIHub > Finance,api-finance-gen-finance-spire-blend-ledger-retail-0656-creative,finance,Spire Blend Ledger Retail 0656 orchestrates deterministic routing results for finance workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Routing,creative,blend|creative,45,24.70
Vector Stack Ledger Retail 0659 Fast,media.gen-media-vector-stack-ledger-retail-0659.fast,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-fast,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Simulation,fast,fast|gen-658,45,25.54
Vector Stack Ledger Retail 0659 Deep,media.gen-media-vector-stack-ledger-retail-0659.deep,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-deep,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Simulation,deep,deep|gen-658,45,25.16
Vector Stack Ledger Retail 0659 Strict,media.gen-media-vector-stack-ledger-retail-0659.strict,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-strict,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Simulation,strict,gen-658|ledger,45,24.64
Vector Stack Ledger Retail 0659 Creative,media.gen-media-vector-stack-ledger-retail-0659.creative,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-creative,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Simulation,creative,creative|gen-658,45,25.18
Vector Stack Ledger Retail 0659 Compact,media.gen-media-vector-stack-ledger-retail-0659.compact,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-compact,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Simulation,compact,compact|gen-658,45,25.12
Vector Stack Ledger Retail 0659 Verbose,media.gen-media-vector-stack-ledger-retail-0659.verbose,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-verbose,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Simulation,verbose,gen-658|ledger,45,25.13
Vector Stack Ledger Retail 0659 Safe,media.gen-media-vector-stack-ledger-retail-0659.safe,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-safe,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Simulation,safe,gen-658|ledger,45,24.68
Vector Stack Ledger Retail 0659 Adaptive,media.gen-media-vector-stack-ledger-retail-0659.adaptive,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-adaptive,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Simulation,adaptive,adaptive|gen-658,45,25.52
Vector Stack Ledger Retail 0659 Batch,media.gen-media-vector-stack-ledger-retail-0659.batch,Magnexis APIHub > Media,api-media-gen-media-vector-stack-ledger-retail-0659-batch,media,Vector Stack Ledger Retail 0659 orchestrates deterministic simulation results for media workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Simulation,batch,batch|gen-658,45,24.75
Signal Stack Ledger Retail 0660,game.gen-game-signal-stack-ledger-retail-0660.standard,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios.,high,none,pro,Optimization,standard,game|gen-659,30,25.17
Signal Stack Ledger Retail 0660 Fast,game.gen-game-signal-stack-ledger-retail-0660.fast,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-fast,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Optimization,fast,fast|game,20,25.40
Signal Stack Ledger Retail 0660 Deep,game.gen-game-signal-stack-ledger-retail-0660.deep,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-deep,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Optimization,deep,deep|game,20,25.30
Signal Stack Ledger Retail 0660 Strict,game.gen-game-signal-stack-ledger-retail-0660.strict,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-strict,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Optimization,strict,game|gen-659,20,25.25
Signal Stack Ledger Retail 0660 Creative,game.gen-game-signal-stack-ledger-retail-0660.creative,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-creative,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Optimization,creative,creative|game,20,24.94
Signal Stack Ledger Retail 0660 Compact,game.gen-game-signal-stack-ledger-retail-0660.compact,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-compact,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Optimization,compact,compact|game,20,25.51
Signal Stack Ledger Retail 0660 Verbose,game.gen-game-signal-stack-ledger-retail-0660.verbose,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-verbose,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Optimization,verbose,game|gen-659,20,25.51
Signal Stack Ledger Retail 0660 Safe,game.gen-game-signal-stack-ledger-retail-0660.safe,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-safe,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Optimization,safe,game|gen-659,20,25.23
Signal Stack Ledger Retail 0660 Adaptive,game.gen-game-signal-stack-ledger-retail-0660.adaptive,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-adaptive,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Optimization,adaptive,adaptive|game,20,25.00
Signal Stack Ledger Retail 0660 Batch,game.gen-game-signal-stack-ledger-retail-0660.batch,Magnexis APIHub > Game,api-game-gen-game-signal-stack-ledger-retail-0660-batch,game,Signal Stack Ledger Retail 0660 orchestrates deterministic optimization results for game workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Optimization,batch,batch|game,20,24.80
Orbit Stack Ledger Retail 0661,sim.gen-sim-orbit-stack-ledger-retail-0661.standard,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios.,low,none,free,Orchestration,standard,gen-660|ledger,90,25.07
Orbit Stack Ledger Retail 0661 Fast,sim.gen-sim-orbit-stack-ledger-retail-0661.fast,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-fast,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Orchestration,fast,fast|gen-660,75,25.75
Orbit Stack Ledger Retail 0661 Deep,sim.gen-sim-orbit-stack-ledger-retail-0661.deep,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-deep,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Orchestration,deep,deep|gen-660,75,25.11
Orbit Stack Ledger Retail 0661 Strict,sim.gen-sim-orbit-stack-ledger-retail-0661.strict,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-strict,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Orchestration,strict,gen-660|ledger,75,24.94
Orbit Stack Ledger Retail 0661 Creative,sim.gen-sim-orbit-stack-ledger-retail-0661.creative,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-creative,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Orchestration,creative,creative|gen-660,75,25.47
Orbit Stack Ledger Retail 0661 Compact,sim.gen-sim-orbit-stack-ledger-retail-0661.compact,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-compact,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Orchestration,compact,compact|gen-660,75,25.29
Orbit Stack Ledger Retail 0661 Verbose,sim.gen-sim-orbit-stack-ledger-retail-0661.verbose,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-verbose,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Orchestration,verbose,gen-660|ledger,75,25.73
Orbit Stack Ledger Retail 0661 Safe,sim.gen-sim-orbit-stack-ledger-retail-0661.safe,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-safe,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Orchestration,safe,gen-660|ledger,75,25.37
Orbit Stack Ledger Retail 0661 Adaptive,sim.gen-sim-orbit-stack-ledger-retail-0661.adaptive,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-adaptive,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Orchestration,adaptive,adaptive|gen-660,75,25.68
Orbit Stack Ledger Retail 0661 Batch,sim.gen-sim-orbit-stack-ledger-retail-0661.batch,Magnexis APIHub > Sim,api-sim-gen-sim-orbit-stack-ledger-retail-0661-batch,sim,Orbit Stack Ledger Retail 0661 orchestrates deterministic orchestration results for sim workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Orchestration,batch,batch|gen-660,75,25.68
Prism Stack Ledger Retail 0662,edu.gen-edu-prism-stack-ledger-retail-0662.standard,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios.,medium,none,free,Diagnostic,standard,diagnostic|edu,60,25.67
Prism Stack Ledger Retail 0662 Fast,edu.gen-edu-prism-stack-ledger-retail-0662.fast,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-fast,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Diagnostic,fast,diagnostic|edu,45,25.17
Prism Stack Ledger Retail 0662 Deep,edu.gen-edu-prism-stack-ledger-retail-0662.deep,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-deep,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Diagnostic,deep,deep|diagnostic,45,25.48
Prism Stack Ledger Retail 0662 Strict,edu.gen-edu-prism-stack-ledger-retail-0662.strict,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-strict,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Diagnostic,strict,diagnostic|edu,45,25.08
Prism Stack Ledger Retail 0662 Creative,edu.gen-edu-prism-stack-ledger-retail-0662.creative,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-creative,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Diagnostic,creative,creative|diagnostic,45,25.57
Prism Stack Ledger Retail 0662 Compact,edu.gen-edu-prism-stack-ledger-retail-0662.compact,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-compact,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Diagnostic,compact,compact|diagnostic,45,25.18
Prism Stack Ledger Retail 0662 Verbose,edu.gen-edu-prism-stack-ledger-retail-0662.verbose,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-verbose,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Diagnostic,verbose,diagnostic|edu,45,25.71
Prism Stack Ledger Retail 0662 Safe,edu.gen-edu-prism-stack-ledger-retail-0662.safe,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-safe,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Diagnostic,safe,diagnostic|edu,45,25.64
Prism Stack Ledger Retail 0662 Adaptive,edu.gen-edu-prism-stack-ledger-retail-0662.adaptive,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-adaptive,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Diagnostic,adaptive,adaptive|diagnostic,45,25.66
Prism Stack Ledger Retail 0662 Batch,edu.gen-edu-prism-stack-ledger-retail-0662.batch,Magnexis APIHub > Edu,api-edu-gen-edu-prism-stack-ledger-retail-0662-batch,edu,Prism Stack Ledger Retail 0662 orchestrates deterministic diagnostic results for edu workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Diagnostic,batch,batch|diagnostic,45,25.69
Flux Stack Ledger Retail 0663,utility.gen-utility-flux-stack-ledger-retail-0663.standard,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios.,high,none,pro,Enrichment,standard,enrichment|flux,30,25.54
Flux Stack Ledger Retail 0663 Fast,utility.gen-utility-flux-stack-ledger-retail-0663.fast,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-fast,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Enrichment,fast,enrichment|fast,20,25.48
Flux Stack Ledger Retail 0663 Deep,utility.gen-utility-flux-stack-ledger-retail-0663.deep,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-deep,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Enrichment,deep,deep|enrichment,20,25.82
Flux Stack Ledger Retail 0663 Strict,utility.gen-utility-flux-stack-ledger-retail-0663.strict,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-strict,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Enrichment,strict,enrichment|flux,20,25.61
Flux Stack Ledger Retail 0663 Creative,utility.gen-utility-flux-stack-ledger-retail-0663.creative,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-creative,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Enrichment,creative,creative|enrichment,20,25.29
Flux Stack Ledger Retail 0663 Compact,utility.gen-utility-flux-stack-ledger-retail-0663.compact,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-compact,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Enrichment,compact,compact|enrichment,20,25.82
Flux Stack Ledger Retail 0663 Verbose,utility.gen-utility-flux-stack-ledger-retail-0663.verbose,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-verbose,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Enrichment,verbose,enrichment|flux,20,25.50
Flux Stack Ledger Retail 0663 Safe,utility.gen-utility-flux-stack-ledger-retail-0663.safe,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-safe,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Enrichment,safe,enrichment|flux,20,25.34
Flux Stack Ledger Retail 0663 Adaptive,utility.gen-utility-flux-stack-ledger-retail-0663.adaptive,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-adaptive,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Enrichment,adaptive,adaptive|enrichment,20,25.37
Flux Stack Ledger Retail 0663 Batch,utility.gen-utility-flux-stack-ledger-retail-0663.batch,Magnexis APIHub > Utility,api-utility-gen-utility-flux-stack-ledger-retail-0663-batch,utility,Flux Stack Ledger Retail 0663 orchestrates deterministic enrichment results for utility workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Enrichment,batch,batch|enrichment,20,25.16
