Item Name,SKU,Categories,Permalink,Option Value 1,Description,Option Value 2,Option Value 3,Option Value 4,Reporting Category,Variation Name,Option Value 5,Option Value 6,Price
Forge Shape Stream Retail 1390 Adaptive,edu.gen-edu-forge-shape-stream-retail-1390.adaptive,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-adaptive,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Monitoring,adaptive,adaptive|edu,75,48.04
Forge Shape Stream Retail 1390 Batch,edu.gen-edu-forge-shape-stream-retail-1390.batch,Magnexis APIHub > Edu,api-edu-gen-edu-forge-shape-stream-retail-1390-batch,edu,Forge Shape Stream Retail 1390 orchestrates deterministic monitoring results for edu workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Monitoring,batch,batch|edu,75,48.00
Ember Shape Stream Retail 1391,utility.gen-utility-ember-shape-stream-retail-1391.standard,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios.,medium,none,free,Simulation,standard,ember|gen-390,60,48.29
Ember Shape Stream Retail 1391 Fast,utility.gen-utility-ember-shape-stream-retail-1391.fast,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-fast,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Simulation,fast,ember|fast,45,48.53
Ember Shape Stream Retail 1391 Deep,utility.gen-utility-ember-shape-stream-retail-1391.deep,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-deep,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Simulation,deep,deep|ember,45,48.30
Ember Shape Stream Retail 1391 Strict,utility.gen-utility-ember-shape-stream-retail-1391.strict,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-strict,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Simulation,strict,ember|gen-390,45,48.03
Ember Shape Stream Retail 1391 Creative,utility.gen-utility-ember-shape-stream-retail-1391.creative,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-creative,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Simulation,creative,creative|ember,45,48.73
Ember Shape Stream Retail 1391 Compact,utility.gen-utility-ember-shape-stream-retail-1391.compact,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-compact,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Simulation,compact,compact|ember,45,48.34
Ember Shape Stream Retail 1391 Verbose,utility.gen-utility-ember-shape-stream-retail-1391.verbose,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-verbose,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Simulation,verbose,ember|gen-390,45,48.76
Ember Shape Stream Retail 1391 Safe,utility.gen-utility-ember-shape-stream-retail-1391.safe,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-safe,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Simulation,safe,ember|gen-390,45,48.75
Ember Shape Stream Retail 1391 Adaptive,utility.gen-utility-ember-shape-stream-retail-1391.adaptive,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-adaptive,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Simulation,adaptive,adaptive|ember,45,48.26
Ember Shape Stream Retail 1391 Batch,utility.gen-utility-ember-shape-stream-retail-1391.batch,Magnexis APIHub > Utility,api-utility-gen-utility-ember-shape-stream-retail-1391-batch,utility,Ember Shape Stream Retail 1391 orchestrates deterministic simulation results for utility workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Simulation,batch,batch|ember,45,48.03
Spire Shape Stream Retail 1392,ai.gen-ai-spire-shape-stream-retail-1392.standard,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios.,high,none,pro,Optimization,standard,ai|gen-391,30,48.28
Spire Shape Stream Retail 1392 Fast,ai.gen-ai-spire-shape-stream-retail-1392.fast,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-fast,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Optimization,fast,ai|fast,20,48.67
Spire Shape Stream Retail 1392 Deep,ai.gen-ai-spire-shape-stream-retail-1392.deep,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-deep,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Optimization,deep,ai|deep,20,48.26
Spire Shape Stream Retail 1392 Strict,ai.gen-ai-spire-shape-stream-retail-1392.strict,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-strict,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Optimization,strict,ai|gen-391,20,48.15
Spire Shape Stream Retail 1392 Creative,ai.gen-ai-spire-shape-stream-retail-1392.creative,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-creative,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Optimization,creative,ai|creative,20,48.84
Spire Shape Stream Retail 1392 Compact,ai.gen-ai-spire-shape-stream-retail-1392.compact,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-compact,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Optimization,compact,ai|compact,20,48.69
Spire Shape Stream Retail 1392 Verbose,ai.gen-ai-spire-shape-stream-retail-1392.verbose,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-verbose,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Optimization,verbose,ai|gen-391,20,48.07
Spire Shape Stream Retail 1392 Safe,ai.gen-ai-spire-shape-stream-retail-1392.safe,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-safe,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Optimization,safe,ai|gen-391,20,48.30
Spire Shape Stream Retail 1392 Adaptive,ai.gen-ai-spire-shape-stream-retail-1392.adaptive,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-adaptive,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Optimization,adaptive,adaptive|ai,20,48.50
Spire Shape Stream Retail 1392 Batch,ai.gen-ai-spire-shape-stream-retail-1392.batch,Magnexis APIHub > Ai,api-ai-gen-ai-spire-shape-stream-retail-1392-batch,ai,Spire Shape Stream Retail 1392 orchestrates deterministic optimization results for ai workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Optimization,batch,ai|batch,20,48.28
Aurora Score Stream Retail 1393,text.gen-text-aurora-score-stream-retail-1393.standard,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios.,low,none,free,Orchestration,standard,aurora|gen-392,90,48.79
Aurora Score Stream Retail 1393 Fast,text.gen-text-aurora-score-stream-retail-1393.fast,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-fast,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Orchestration,fast,aurora|fast,75,48.78
Aurora Score Stream Retail 1393 Deep,text.gen-text-aurora-score-stream-retail-1393.deep,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-deep,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Orchestration,deep,aurora|deep,75,48.74
Aurora Score Stream Retail 1393 Strict,text.gen-text-aurora-score-stream-retail-1393.strict,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-strict,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Orchestration,strict,aurora|gen-392,75,48.93
Aurora Score Stream Retail 1393 Creative,text.gen-text-aurora-score-stream-retail-1393.creative,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-creative,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Orchestration,creative,aurora|creative,75,48.40
Aurora Score Stream Retail 1393 Compact,text.gen-text-aurora-score-stream-retail-1393.compact,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-compact,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Orchestration,compact,aurora|compact,75,48.17
Aurora Score Stream Retail 1393 Verbose,text.gen-text-aurora-score-stream-retail-1393.verbose,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-verbose,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Orchestration,verbose,aurora|gen-392,75,48.11
Aurora Score Stream Retail 1393 Safe,text.gen-text-aurora-score-stream-retail-1393.safe,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-safe,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Orchestration,safe,aurora|gen-392,75,48.78
Aurora Score Stream Retail 1393 Adaptive,text.gen-text-aurora-score-stream-retail-1393.adaptive,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-adaptive,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Orchestration,adaptive,adaptive|aurora,75,48.12
Aurora Score Stream Retail 1393 Batch,text.gen-text-aurora-score-stream-retail-1393.batch,Magnexis APIHub > Text,api-text-gen-text-aurora-score-stream-retail-1393-batch,text,Aurora Score Stream Retail 1393 orchestrates deterministic orchestration results for text workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Orchestration,batch,aurora|batch,75,48.27
Lattice Score Stream Retail 1394,dev.gen-dev-lattice-score-stream-retail-1394.standard,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios.,medium,none,free,Diagnostic,standard,dev|diagnostic,60,48.68
Lattice Score Stream Retail 1394 Fast,dev.gen-dev-lattice-score-stream-retail-1394.fast,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-fast,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Diagnostic,fast,dev|diagnostic,45,48.52
Lattice Score Stream Retail 1394 Deep,dev.gen-dev-lattice-score-stream-retail-1394.deep,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-deep,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Diagnostic,deep,deep|dev,45,49.07
Lattice Score Stream Retail 1394 Strict,dev.gen-dev-lattice-score-stream-retail-1394.strict,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-strict,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Diagnostic,strict,dev|diagnostic,45,48.43
Lattice Score Stream Retail 1394 Creative,dev.gen-dev-lattice-score-stream-retail-1394.creative,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-creative,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Diagnostic,creative,creative|dev,45,48.59
Lattice Score Stream Retail 1394 Compact,dev.gen-dev-lattice-score-stream-retail-1394.compact,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-compact,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Diagnostic,compact,compact|dev,45,48.38
Lattice Score Stream Retail 1394 Verbose,dev.gen-dev-lattice-score-stream-retail-1394.verbose,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-verbose,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Diagnostic,verbose,dev|diagnostic,45,48.24
Lattice Score Stream Retail 1394 Safe,dev.gen-dev-lattice-score-stream-retail-1394.safe,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-safe,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Diagnostic,safe,dev|diagnostic,45,48.58
Lattice Score Stream Retail 1394 Adaptive,dev.gen-dev-lattice-score-stream-retail-1394.adaptive,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-adaptive,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for adaptive mode.,medium,none,pro,Diagnostic,adaptive,adaptive|dev,45,48.24
Lattice Score Stream Retail 1394 Batch,dev.gen-dev-lattice-score-stream-retail-1394.batch,Magnexis APIHub > Dev,api-dev-gen-dev-lattice-score-stream-retail-1394-batch,dev,Lattice Score Stream Retail 1394 orchestrates deterministic diagnostic results for dev workflows in retail scenarios. Optimized for batch mode.,medium,none,pro,Diagnostic,batch,batch|dev,45,48.86
Vector Score Stream Retail 1395,data.gen-data-vector-score-stream-retail-1395.standard,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios.,high,none,pro,Enrichment,standard,data|enrichment,30,48.79
Vector Score Stream Retail 1395 Fast,data.gen-data-vector-score-stream-retail-1395.fast,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-fast,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for fast mode.,high,none,pro,Enrichment,fast,data|enrichment,20,48.81
Vector Score Stream Retail 1395 Deep,data.gen-data-vector-score-stream-retail-1395.deep,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-deep,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for deep mode.,high,none,pro,Enrichment,deep,data|deep,20,48.29
Vector Score Stream Retail 1395 Strict,data.gen-data-vector-score-stream-retail-1395.strict,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-strict,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for strict mode.,high,none,pro,Enrichment,strict,data|enrichment,20,49.00
Vector Score Stream Retail 1395 Creative,data.gen-data-vector-score-stream-retail-1395.creative,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-creative,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for creative mode.,high,none,pro,Enrichment,creative,creative|data,20,49.15
Vector Score Stream Retail 1395 Compact,data.gen-data-vector-score-stream-retail-1395.compact,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-compact,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for compact mode.,high,none,pro,Enrichment,compact,compact|data,20,48.61
Vector Score Stream Retail 1395 Verbose,data.gen-data-vector-score-stream-retail-1395.verbose,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-verbose,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for verbose mode.,high,none,pro,Enrichment,verbose,data|enrichment,20,49.15
Vector Score Stream Retail 1395 Safe,data.gen-data-vector-score-stream-retail-1395.safe,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-safe,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for safe mode.,high,none,pro,Enrichment,safe,data|enrichment,20,49.03
Vector Score Stream Retail 1395 Adaptive,data.gen-data-vector-score-stream-retail-1395.adaptive,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-adaptive,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for adaptive mode.,high,none,pro,Enrichment,adaptive,adaptive|data,20,49.13
Vector Score Stream Retail 1395 Batch,data.gen-data-vector-score-stream-retail-1395.batch,Magnexis APIHub > Data,api-data-gen-data-vector-score-stream-retail-1395-batch,data,Vector Score Stream Retail 1395 orchestrates deterministic enrichment results for data workflows in retail scenarios. Optimized for batch mode.,high,none,pro,Enrichment,batch,batch|data,20,48.75
Signal Score Stream Retail 1396,business.gen-business-signal-score-stream-retail-1396.standard,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios.,low,none,free,Forecasting,standard,business|forecasting,90,49.15
Signal Score Stream Retail 1396 Fast,business.gen-business-signal-score-stream-retail-1396.fast,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-fast,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for fast mode.,low,none,pro,Forecasting,fast,business|fast,75,48.61
Signal Score Stream Retail 1396 Deep,business.gen-business-signal-score-stream-retail-1396.deep,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-deep,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for deep mode.,low,none,pro,Forecasting,deep,business|deep,75,49.17
Signal Score Stream Retail 1396 Strict,business.gen-business-signal-score-stream-retail-1396.strict,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-strict,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for strict mode.,low,none,pro,Forecasting,strict,business|forecasting,75,49.13
Signal Score Stream Retail 1396 Creative,business.gen-business-signal-score-stream-retail-1396.creative,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-creative,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for creative mode.,low,none,pro,Forecasting,creative,business|creative,75,48.47
Signal Score Stream Retail 1396 Compact,business.gen-business-signal-score-stream-retail-1396.compact,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-compact,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for compact mode.,low,none,pro,Forecasting,compact,business|compact,75,48.49
Signal Score Stream Retail 1396 Verbose,business.gen-business-signal-score-stream-retail-1396.verbose,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-verbose,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for verbose mode.,low,none,pro,Forecasting,verbose,business|forecasting,75,48.69
Signal Score Stream Retail 1396 Safe,business.gen-business-signal-score-stream-retail-1396.safe,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-safe,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for safe mode.,low,none,pro,Forecasting,safe,business|forecasting,75,48.99
Signal Score Stream Retail 1396 Adaptive,business.gen-business-signal-score-stream-retail-1396.adaptive,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-adaptive,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for adaptive mode.,low,none,pro,Forecasting,adaptive,adaptive|business,75,48.56
Signal Score Stream Retail 1396 Batch,business.gen-business-signal-score-stream-retail-1396.batch,Magnexis APIHub > Business,api-business-gen-business-signal-score-stream-retail-1396-batch,business,Signal Score Stream Retail 1396 orchestrates deterministic forecasting results for business workflows in retail scenarios. Optimized for batch mode.,low,none,pro,Forecasting,batch,batch|business,75,48.67
Orbit Score Stream Retail 1397,finance.gen-finance-orbit-score-stream-retail-1397.standard,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios.,medium,none,free,Mapping,standard,finance|gen-396,60,49.27
Orbit Score Stream Retail 1397 Fast,finance.gen-finance-orbit-score-stream-retail-1397.fast,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397-fast,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios. Optimized for fast mode.,medium,none,pro,Mapping,fast,fast|finance,45,48.65
Orbit Score Stream Retail 1397 Deep,finance.gen-finance-orbit-score-stream-retail-1397.deep,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397-deep,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios. Optimized for deep mode.,medium,none,pro,Mapping,deep,deep|finance,45,48.53
Orbit Score Stream Retail 1397 Strict,finance.gen-finance-orbit-score-stream-retail-1397.strict,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397-strict,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios. Optimized for strict mode.,medium,none,pro,Mapping,strict,finance|gen-396,45,49.27
Orbit Score Stream Retail 1397 Creative,finance.gen-finance-orbit-score-stream-retail-1397.creative,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397-creative,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios. Optimized for creative mode.,medium,none,pro,Mapping,creative,creative|finance,45,49.26
Orbit Score Stream Retail 1397 Compact,finance.gen-finance-orbit-score-stream-retail-1397.compact,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397-compact,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios. Optimized for compact mode.,medium,none,pro,Mapping,compact,compact|finance,45,48.90
Orbit Score Stream Retail 1397 Verbose,finance.gen-finance-orbit-score-stream-retail-1397.verbose,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397-verbose,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios. Optimized for verbose mode.,medium,none,pro,Mapping,verbose,finance|gen-396,45,49.08
Orbit Score Stream Retail 1397 Safe,finance.gen-finance-orbit-score-stream-retail-1397.safe,Magnexis APIHub > Finance,api-finance-gen-finance-orbit-score-stream-retail-1397-safe,finance,Orbit Score Stream Retail 1397 orchestrates deterministic mapping results for finance workflows in retail scenarios. Optimized for safe mode.,medium,none,pro,Mapping,safe,finance|gen-396,45,48.81
